Lamb, Australian, imported, fresh, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/8" fat, raw	1.5	2.7
Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0" fat, all grades, cooked, grilled	1.4	4.1
Beef, short loin, t-bone steak, separable lean and fat, trimmed to 0" fat, all grades, cooked, broiled	1.4	3.9
Beef, round, top round roast, boneless, separable lean and fat, trimmed to 0" fat, choice, raw	1.4	3.8
Turkey, skin, from retail parts, from dark meat, cooked, roasted	0.8	2.8
Seaweed, kelp, raw	1.3	0.1
Kale, frozen, unprepared	1.1	0.3
Pork, cured, ham with natural juices, spiral slice, boneless, separable lean and fat, unheated	1.3	2.8
Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0" fat, choice, raw	1.3	3.2
Emu, fan fillet, cooked, broiled	1.3	3.2
Beef, brisket, flat half, separable lean and fat, trimmed to 1/8" fat, choice, raw	1.3	2.7
Beef, variety meats and by-products, pancreas, cooked, braised	1.3	3.5
Lamb, Australian, imported, fresh, composite of trimmed retail cuts, separable lean only, trimmed to 1/8" fat, cooked	1.5	3.9
Nuts, walnuts, english	0.2	2.7
Beef, ground, 97% lean meat / 3% fat, raw	1.3	3.2
Noodles, egg, spinach, enriched, cooked	0.7	0.4
Lamb, Australian, imported, fresh, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/8" fat, cooked, roasted	1.5	3.7
Milk, filled, fluid, with blend of hydrogenated vegetable oils	2.2	0.4
Pork, fresh, leg (ham), shank half, separable lean only, cooked, roasted	1.4	4.4
Egg, yolk, raw, fresh	1.1	2.3
Lamb, shoulder, blade, separable lean and fat, trimmed to 1/8" fat, choice, cooked, roasted	1.5	3.3
Wheat flour, white, all-purpose, enriched, unbleached	0.5	0.6
BURGER KING, Premium Fish Sandwich	1.4	1.1
Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0" fat, choice, raw	1.4	3.1
Lamb, New Zealand, imported, fore-shank, separable lean only, raw	1.3	3.4
TACO BELL, BURRITO SUPREME with chicken	1.3	1.1
Cookies, oatmeal, commercially prepared, regular	0.6	0.6
Fish, burbot, raw	1.5	2.9
Beef, ground, 93% lean meat / 7% fat, raw	1.3	3.1
Chicken, broilers or fryers, light meat, meat and skin, cooked, fried, flour	1.3	4.4
Cookies, oatmeal, prepared from recipe, without raisins	0.7	0.7
Cheese, brie	2.5	2.6
Beef, cured, luncheon meat, jellied	1.1	2.8
Lamb, New Zealand, imported, frozen, rib, separable lean and fat, trimmed to 1/8" fat, cooked, roasted	1.5	2.9
Fish, rockfish, Pacific, mixed species, cooked, dry heat	1.4	3.7
Leeks, (bulb and lower leaf-portion), raw	1.0	0.1
Veal, shoulder, blade, separable lean only, cooked, braised	1.4	4.6
Mollusks, whelk, unspecified, cooked, moist heat	0.6	7.9
Guavas, common, raw	1.2	0.1
Cookies, sugar, refrigerated dough	1.0	0.4
Kale, frozen, cooked, boiled, drained, with salt	1.1	0.3
T.G.I. FRIDAY'S, chicken fingers, from kids' menu	1.4	2.5
Chicken, broilers or fryers, leg, meat only, cooked, stewed	1.4	3.8
TURKEY BREAKFAST SAUSAGE, JENNIE O - MILD	1.4	2.4
Bread, raisin, unenriched	0.6	0.6
Basil, fresh	1.0	0.2
Turkey, mechanically deboned, from turkey frames, raw	1.3	2.0
WENDY'S, Homestyle Chicken Fillet Sandwich	1.3	1.5
Lamb, New Zealand, imported, square-cut shoulder chops, separable lean and fat, raw	1.3	2.6
Muffins, oat bran	0.6	0.7
Pork, cured, ham -- water added, whole, boneless, separable lean and fat, unheated	1.3	2.5
Frankfurter, meat, heated	1.4	1.6
Sausage, beef, cured, cooked, smoked	1.2	2.0
Pork, cured, ham -- water added, slice, bone-in, separable lean and fat, heated, pan-broil	1.3	3.1
Fish, sablefish, cooked, dry heat	1.5	2.6
Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8" fat, prime, cooked, roasted	1.3	3.3
Beef, ground, 80% lean meat / 20% fat, raw	1.3	2.5
Fish, bass, striped, raw	1.5	2.7
Radishes, white icicle, raw	0.8	0.1
Snacks, crisped rice bar, almond	0.4	0.9
Beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0" fat, all grades, cooked, roasted	1.4	4.5
Cheese, limburger	2.4	2.4
Beef, round, top round roast, boneless, separable lean and fat, trimmed to 0" fat, select, cooked, roasted	1.4	5.2
Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 0" fat, choice, cooked, broiled	1.3	4.1
Pork, ground, 84% lean / 16% fat, cooked, crumbles	1.3	4.0
Yam, cooked, boiled, drained, or baked, with salt	0.4	0.2
Pie, vanilla cream, prepared from recipe	1.3	0.5
Beef, chuck, mock tender steak, separable lean and fat, trimmed to 0" fat, all grades, cooked, broiled	1.4	4.2
Nuts, pine nuts, dried	0.2	3.0
Cauliflower, green, raw	1.1	0.3
Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, broiled	1.3	3.9
Pork, fresh, loin, tenderloin, separable lean only, raw	1.4	3.3
Fish, mackerel, spanish, raw	1.5	2.9
Thyme, fresh	+Inf	0.1
Muffins, plain, prepared from recipe, made with low fat (2%) milk	0.9	0.6
Bologna, meat and poultry	1.1	1.4
Pork, fresh, loin, country-style ribs, separable lean only, bone-in, cooked, broiled	1.4	4.3
Sweet potato, frozen, cooked, baked, without salt	1.0	0.2
Beans, cranberry (roman), mature seeds, canned	1.1	0.7
Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, pan-fried	1.4	3.9
Babyfood, dinner, macaroni and tomato and beef, junior	1.1	0.3
Beef, New Zealand, imported, variety meats and by-products, heart, raw	1.2	2.7
Game meat, deer, raw	1.2	3.6
Soup, cream of mushroom, canned, prepared with equal volume low fat (2%) milk	2.1	0.2
Goji berries, dried	0.3	0.9
Beans, kidney, all types, mature seeds, canned	1.3	0.6
Cake, gingerbread, dry mix	0.9	0.4
Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8" fat, select, cooked, broiled	1.3	3.8
Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean only, trimmed to 1/8" fat, raw	1.5	3.0
Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, with salt	0.7	1.4
Yokan, prepared from adzuki beans and sugar	1.1	0.4
Corn, sweet, white, raw	1.0	0.3
Milk, filled, fluid, with lauric acid oil	2.2	0.4
Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean and fat, cooked, fast fried	1.3	3.7
Chicken, cornish game hens, meat and skin, cooked, roasted	1.3	3.2
Veal, shoulder, arm, separable lean only, cooked, braised	1.4	5.0
Pasta, gluten-free, brown rice flour, cooked, TINKYADA	0.7	0.5
Pork, cured, ham, regular (approximately 13% fat), canned, roasted	1.4	3.0
Soup, vegetable beef, canned, condensed	1.4	0.5
Beef, loin, top loin, separable lean and fat, trimmed to 1/8" fat, select, cooked, grilled	1.3	3.9
Onions, spring or scallions (includes tops and bulb), raw	0.7	0.2
Potatoes, white, flesh and skin, raw	1.0	0.2
Sweet potato, frozen, unprepared (Includes foods for USDA's Food Distribution Program)	1.1	0.2
Veggie burgers or soyburgers, unprepared	1.0	2.0
Restaurant, Italian, spaghetti with meat sauce	0.9	0.5
Potatoes, french fried, cottage-cut, salt not added in processing, frozen, as purchased	1.1	0.2
Bread, stuffing, dry mix	0.7	0.8
Beef, New Zealand, imported, rump centre, separable lean only, cooked, fast fried	1.2	4.4
Fast foods, biscuit, with egg and ham	1.2	1.3
Turkey, whole, dark meat, cooked, roasted	1.5	3.8
Wild rice, raw	0.5	1.8
Pork, cured, shoulder, arm picnic, separable lean and fat, roasted	1.2	3.1
Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted	1.4	3.6
Corn, white, steamed (Navajo)	+Inf	0.3
Beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0" fat, select, raw	1.4	4.5
Snacks, trail mix, regular, with chocolate chips, unsalted nuts and seeds	0.4	2.1
Lima beans, thin seeded (baby), mature seeds, cooked, boiled, with salt	1.1	1.0
Snacks, pretzels, hard, plain, salted	0.7	0.6
Barley, hulled	0.7	1.1
Beef, top loin petite roast/filet, boneless, separable lean only, trimmed to 1/8" fat, all grades, raw	1.4	4.0
Chicken, dark meat, drumstick, meat only, with added solution, cooked, braised	1.4	3.8
Cheese, mozzarella, whole milk, low moisture	2.4	3.1
Chicken, broilers or fryers, light meat, meat only, cooked, roasted	1.4	4.5
Peas, split, mature seeds, cooked, boiled, without salt	0.8	1.3
Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, cooked, broiled	1.4	3.8
DOMINO'S 14" Cheese Pizza, Ultimate Deep Dish Crust	0.8	1.4
Pork, cured, ham, boneless, extra lean and regular, unheated	1.3	2.7
Beef, shoulder pot roast or steak, boneless, separable lean only, trimmed to 0" fat, all grades, raw	1.3	3.4
Parsley, fresh	1.5	0.3
Cauliflower, frozen, cooked, boiled, drained, with salt	1.1	0.2
Celery, cooked, boiled, drained, without salt	1.5	0.1
Beef, round, bottom round, roast, separable lean only, trimmed to 1/8" fat, choice, raw	1.3	3.3
Peppers, sweet, green, frozen, chopped, boiled, drained, without salt	1.0	0.1
Emu, ground, raw	1.3	2.4
Pie, pecan, prepared from recipe	0.8	0.6
Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0" fat, all grades, cooked, grilled	1.4	5.3
Soymilk, chocolate, with added calcium, vitamins A and D	0.7	0.2
Barley flour or meal	0.8	0.9
Cornmeal, degermed, unenriched, white	0.4	0.3
Ostrich, outside strip, cooked	1.3	4.5
Pork, pickled pork hocks	0.6	2.2
Orange juice, canned, unsweetened	0.2	0.0
Turkey, thigh, from whole bird, meat only, roasted	1.5	3.8
Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean and fat, trimmed to 1/8" fat, raw	1.5	2.8
Game meat, goat, raw	1.0	3.0
Nuts, mixed nuts, oil roasted, with peanuts, lightly salted	0.3	3.7
Beef, cured, corned beef, brisket, raw	1.2	2.0
Beef, chuck, top blade, separable lean only, trimmed to 0" fat, all grades, cooked, broiled	1.4	4.2
Beef, New Zealand, imported, brisket point end, separable lean only, raw	1.2	3.0
Crackers, crispbread, rye	0.8	0.7
Fish, roe, mixed species, cooked, dry heat	1.3	3.8
Amaranth leaves, cooked, boiled, drained, with salt	1.0	0.2
Beef, New Zealand, imported, manufacturing beef, raw	1.2	3.1
Sausage, pork and beef, fresh, cooked	1.3	1.9
Lamb, Australian, imported, fresh, separable fat, raw	1.5	0.9
Wheat flour, white (industrial), 10% protein, bleached, unenriched	0.7	0.6
Fish, sardine, Atlantic, canned in oil, drained solids with bone	1.5	3.7
Butter, whipped, with salt	2.0	0.1
Babyfood, meat, turkey, strained	1.3	2.1
Turkey, whole, back, meat only, cooked, roasted	1.5	3.8
Seeds, sesame seed kernels, dried (decorticated)	0.2	3.9
Game meat, squirrel, cooked, roasted	1.4	3.8
Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0" fat, choice, raw	1.4	3.1
Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0" fat, choice, raw	1.4	3.2
Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0" fat, select, cooked	1.4	5.1
Yogurt, Greek, nonfat, lemon blend, CHOBANI	2.4	1.1
Pork, cured, ham -- water added, rump, bone-in, separable lean and fat, heated, roasted	1.3	3.0
BURGER KING, CROISSAN'WICH with Sausage and Cheese	1.2	1.5
Crackers, whole-wheat, reduced fat	0.6	0.8
Bread, rye	0.7	0.6
Beef, Australian, imported, Wagyu, loin, tenderloin steak/roast, boneless, separable lean only, Aust. marble score 4/5, raw	1.3	3.2
Soybeans, mature seeds, dry roasted	0.9	5.7
Frozen yogurts, vanilla, soft-serve	2.2	0.4
Muffin, blueberry, commercially prepared, low-fat	1.1	0.4
Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, with salt	1.1	0.2
Beef, short loin, top loin steak, separable lean only, trimmed to 1/8" fat, all grades, raw	1.3	3.4
Peppers, hot chili, red, canned, excluding seeds, solids and liquids	1.0	0.1
Beef, chuck eye Country-Style ribs, boneless, separable lean and fat, trimmed to 0" fat, select, raw	1.3	2.9
Pate, goose liver, smoked, canned	1.2	1.5
Lamb, Australian, imported, fresh, tenderloin, boneless, separable lean only, trimmed to 1/8" fat, raw	1.3	3.2
Beef, New Zealand, imported, flat, separable lean only, cooked, braised	1.2	4.8
Lamb, composite of trimmed retail cuts, separable lean only, trimmed to 1/4" fat, choice, cooked	1.5	4.2
POPEYES, Fried Chicken, Mild, Drumstick, meat only, skin and breading removed	0.8	2.6
Squash, summer, zucchini, includes skin, raw	1.2	0.1
Pumpkin leaves, cooked, boiled, drained, with salt	0.9	0.3
Babyfood, vegetables, garden vegetable, strained	0.6	0.3
Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8" fat, select, cooked, roasted	1.4	3.9
Fish, salmon, Atlantic, farmed, raw	1.5	3.1
Milk, buttermilk, dried	2.2	4.0
Cookies, fortune	0.9	0.3
Beef, tenderloin, steak, separable lean only, trimmed to 1/8" fat, all grades, cooked, broiled	1.3	4.3
Duck, wild, breast, meat only, raw	1.3	3.0
Chicken, roasting, dark meat, meat only, raw	1.4	2.7
Succotash, (corn and limas), raw	1.0	0.6
Pork, fresh, loin, sirloin (chops), bone-in, separable lean only, cooked, braised	1.4	4.7
Lamb, New Zealand, imported, brains, cooked, soaked and fried	1.3	2.2
Pancakes, whole-wheat, dry mix, incomplete, prepared	1.0	0.9
Lamb, foreshank, separable lean only, trimmed to 1/4" fat, choice, cooked, braised	1.5	4.6
Lamb, Australian, imported, fresh, leg, whole (shank and sirloin), separable lean only, trimmed to 1/8" fat, raw	1.5	3.0
Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A	2.3	0.4
Snacks, bagel chips, plain	0.4	0.6
Milk shakes, thick chocolate	2.2	0.3
Beef, chuck eye Country-Style ribs, boneless, separable lean only, trimmed to 0" fat, all grades, cooked, braised	1.3	4.9
Chicken, broilers or fryers, thigh, meat and skin, cooked, fried, flour	1.3	3.8
Lamb, New Zealand, imported, loin chop, separable lean and fat, cooked, fast fried	1.3	3.3
Game meat, rabbit, domesticated, composite of cuts, raw	1.4	3.0
Frostings, white, fluffy, dry mix, prepared with water	1.1	0.2
Fast foods, sundae, strawberry	2.1	0.4
Veal, leg (top round), separable lean and fat, cooked, braised	1.4	5.1
Restaurant, Latino, chicken and rice, entree, prepared	1.2	1.7
Seaweed, wakame, raw	1.2	0.2
Tofu, salted and fermented (fuyu), prepared with calcium sulfate	0.6	1.1
LITTLE CAESARS 14" Cheese Pizza, Thin Crust	1.9	2.0
Pork, fresh, loin, tenderloin, separable lean only, cooked, roasted	1.4	4.2
Ice creams, vanilla, light, soft-serve	1.9	0.5
Fish, shad, american, cooked, dry heat	1.5	3.3
Chicken, broilers or fryers, neck, meat and skin, cooked, fried, flour	1.2	3.4
Pork, cured, ham and water product, whole, boneless, separable lean and fat, unheated	1.3	2.1
Restaurant, Mexican, cheese enchilada	2.0	1.4
Beans, snap, yellow, cooked, boiled, drained, with salt	1.3	0.2
TACO BELL, Bean Burrito	1.3	0.8
Peaches, dried, sulfured, stewed, with added sugar	1.5	0.1
Peppers, sweet, red, frozen, chopped, boiled, drained, without salt	1.0	0.1
Peas, green, canned, no salt added, solids and liquids	0.7	0.4
Cookies, oatmeal, commercially prepared, special dietary	0.6	0.5
Bread, crumbs, dry, grated, seasoned	0.7	1.0
Puddings, chocolate, dry mix, regular, prepared with 2% milk	2.1	0.3
Cheese, port de salut	2.4	2.8
Beef, ribeye filet, boneless, separable lean only, trimmed to 0" fat, select, cooked, grilled	1.4	5.4
Beans, navy, mature seeds, sprouted, raw	1.1	0.7
Beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled	1.3	3.8
Pork, fresh, variety meats and by-products, pancreas, cooked, braised	1.2	3.6
Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0" fat, choice, cooked, grilled	1.4	4.7
Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified	0.5	0.1
Lamb, New Zealand, imported, square-cut shoulder, separable lean only, cooked, slow roasted	1.3	3.9
ORGANIC BROWN RICE PROTEIN POWDER	0.4	8.8
Rosemary, fresh	0.9	0.3
Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0" fat, select, cooked, grilled	1.3	4.2
Corn grain, yellow	0.6	0.7
Pork, cured, ham -- water added, slice, bone-in, separable lean only, heated, pan-broil	1.3	3.3
Tangerines, (mandarin oranges), raw	0.5	0.1
Snacks, granola bar, chewy, reduced sugar, all flavors	0.6	0.1
Beef, ground, 95% lean meat / 5% fat, patty, cooked, broiled	1.3	3.9
Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0" fat, select, raw	1.4	3.7
Pork, cured, ham -- water added, shank, bone-in, separable lean only, heated, roasted	1.3	3.1
Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8" fat, all grades, raw	1.4	4.0
Cake, angelfood, dry mix, prepared	1.2	0.7
Pickles, cucumber, sour, low sodium	0.5	0.0
Cereals ready-to-eat, RALSTON Corn Biscuits	0.3	0.2
Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8"fat, choice, cooked, broiled	1.3	4.2
LITTLE CAESARS 14" Original Round Meat and Vegetable Pizza, Regular Crust	1.0	1.1
Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt	1.2	0.3
Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8" fat, select, cooked	1.4	4.1
Tomato products, canned, sauce	1.3	0.1
Peanuts, valencia, oil-roasted, with salt	0.3	4.2
Veal, shoulder, arm, separable lean only, raw	1.4	2.8
